Function,ncalls,tottime,percall,cumtime,percall
         123711 function calls (115622 primitive calls) in 0.803 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\subprocess.py:1078(wait)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\subprocess.py:1353(_wait)
        6    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\construction.py:881(create_series_with_explicit_dtype)
        2    0.001    0.001    0.001    0.001 {built-in method _winapi.WaitForSingleObject}
       44    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:672(_get_setitem_indexer)
       10    0.000    0.000    0.001    0.000 C:\Users\benoi\vocabulary\src\interro.py:149(get_row)
        2    0.000    0.000    0.001    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:3832(_getitem_bool_array)
        5    0.001    0.000    0.001    0.000 {pandas._libs.missing.isnaobj2d}
       17    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1864(_consolidate_inplace)
       35    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:57(take_nd)
  190/158    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.001    0.001 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\frame.py:6862(sort_values)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       12    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\series.py:3194(_construct_result)
        2    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:3894(_take_with_is_copy)
       19    0.000    0.000    0.001    0.000 C:\Users\benoi\vocabulary\src\interro.py:190(get_another_index)
       24    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      141    0.001    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1129(iget)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\argparse.py:1337(add_argument)
      153    0.001    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:5844(__finalize__)
       69    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:1258(_get_label)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        9    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:2182(create_block_manager_from_column_arrays)
       70    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:3908(xs)
       21    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:861(take_nd)
       35    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
        2    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:3873(_take)
       78    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:5973(_consolidate_inplace)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        7    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3888(get_indexer)
        5    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:2319(_consolidate)
       78    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:5959(_protect_consolidate)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\argparse.py:2480(_get_formatter)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\argparse.py:161(__init__)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1394(insert)
      353    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:5904(__setattr__)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:774(_slice_take_blocks_ax0)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:389(__init__)
3266/2638    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:944(take)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.001    0.001 C:\Users\benoi\anaconda3\lib\argparse.py:1638(__init__)
       43    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\re.py:289(_compile)
       35    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:7396(_maybe_cast_data_without_dtype)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:6901(drop)
     1942    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:40(_check)
       49    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1931(np_can_hold_element)
       78    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:5977(f)
       40    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\re.py:250(compile)
  224/214    0.000    0.000    0.001    0.000 {built-in method builtins.all}
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:631(_get_new_axes)
      311    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexing.py:2656(check_deprecated_indexers)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:633(<listcomp>)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\shutil.py:1312(get_terminal_size)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\arraylike.py:120(__rmul__)
       15    0.001    0.000    0.001    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:2361(_merge_blocks)
        4    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\indexes\base.py:6844(insert)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      180    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\generic.py:259(__init__)
       16    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:185(__init__)
       60    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\common.py:235(asarray_tuplesafe)
        4    0.001    0.000    0.001    0.000 {built-in method nt.get_terminal_size}
       16    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:334(_finalize)
        3    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\internals\managers.py:751(<listcomp>)
      119    0.000    0.000    0.001    0.000 C:\Users\benoi\anaconda3\lib\site-packages\pandas\core\common.py:96(is_bool_indexer)
